AoA,        Cd,         Reynolds   
      24.50,     0.2727,    83000.0
      25.00,     0.2796,    83000.0
      26.00,     0.3055,    83000.0
      27.00,     0.3315,    83000.0
      28.00,     0.3579,    83000.0
      29.00,     0.3849,    83000.0
      30.00,     0.4123,    83000.0
      60.00,     1.3068,    83000.0
      90.00,     1.7535,    83000.0
     120.00,     1.3115,    83000.0
     150.00,     0.4359,    83000.0
     180.00,     0.0060,    83000.0
    -180.00,     0.0060,   100000.0
    -150.00,     0.4213,   100000.0
    -120.00,     1.2358,   100000.0
     -90.00,     1.6376,   100000.0
     -60.00,     1.2344,   100000.0
     -30.00,     0.4156,   100000.0
     -10.00,     0.0419,   100000.0
      -9.50,     0.0366,   100000.0
      -9.00,     0.0340,   100000.0
      -8.50,     0.0312,   100000.0
      -8.00,     0.0289,   100000.0
      -7.50,     0.0270,   100000.0
      -7.00,     0.0254,   100000.0
      -6.50,     0.0240,   100000.0
      -6.00,     0.0228,   100000.0
      -5.50,     0.0218,   100000.0
      -5.00,     0.0208,   100000.0
      -4.50,     0.0200,   100000.0
      -4.00,     0.0193,   100000.0
      -3.50,     0.0186,   100000.0
      -3.00,     0.0180,   100000.0
      -2.50,     0.0176,   100000.0
      -2.00,     0.0172,   100000.0
      -1.50,     0.0168,   100000.0
      -1.00,     0.0165,   100000.0
      -0.50,     0.0160,   100000.0
       0.00,     0.0156,   100000.0
       0.50,     0.0154,   100000.0
       1.00,     0.0155,   100000.0
       1.50,     0.0157,   100000.0
       2.00,     0.0161,   100000.0
       2.50,     0.0165,   100000.0
       3.00,     0.0169,   100000.0
       3.50,     0.0174,   100000.0
       4.00,     0.0179,   100000.0
       4.50,     0.0184,   100000.0
       5.00,     0.0190,   100000.0
       5.50,     0.0196,   100000.0
       6.00,     0.0202,   100000.0
       6.50,     0.0209,   100000.0
       7.00,     0.0216,   100000.0
       7.50,     0.0224,   100000.0
       8.00,     0.0232,   100000.0
       8.50,     0.0241,   100000.0
       9.00,     0.0251,   100000.0
       9.50,     0.0263,   100000.0
      10.00,     0.0279,   100000.0
      10.50,     0.0299,   100000.0
      11.00,     0.0323,   100000.0
      11.50,     0.0354,   100000.0
      12.00,     0.0392,   100000.0
      12.50,     0.0437,   100000.0
      13.00,     0.0490,   100000.0
      13.50,     0.0550,   100000.0
      14.00,     0.0615,   100000.0
      14.50,     0.0686,   100000.0
      15.00,     0.0761,   100000.0
      15.50,     0.0837,   100000.0
      16.00,     0.0915,   100000.0
      16.50,     0.0993,   100000.0
      17.00,     0.1069,   100000.0
      17.50,     0.1144,   100000.0
      18.00,     0.1219,   100000.0
      18.50,     0.1292,   100000.0
      19.00,     0.1365,   100000.0
      19.50,     0.1439,   100000.0
      20.00,     0.1511,   100000.0
      20.50,     0.1591,   100000.0
      21.00,     0.1674,   100000.0
      21.50,     0.1765,   100000.0
      22.00,     0.1886,   100000.0
      22.50,     0.2031,   100000.0
      24.00,     0.2601,   100000.0
      24.50,     0.2700,   100000.0
      25.00,     0.2768,   100000.0
      26.00,     0.3031,   100000.0
      27.00,     0.3291,   100000.0
      28.00,     0.3557,   100000.0
      29.00,     0.3827,   100000.0
      30.00,     0.4102,   100000.0
      60.00,     1.3063,   100000.0
      90.00,     1.7534,   100000.0
     120.00,     1.3114,   100000.0
     150.00,     0.4359,   100000.0
     180.00,     0.0060,   100000.0
    -180.00,     0.0060,   120000.0
    -150.00,     0.4213,   120000.0
    -120.00,     1.2358,   120000.0
     -90.00,     1.6376,   120000.0
     -60.00,     1.2344,   120000.0
     -30.00,     0.4155,   120000.0
     -10.00,     0.0351,   120000.0
      -9.50,     0.0321,   120000.0
      -9.00,     0.0294,   120000.0
      -8.50,     0.0275,   120000.0
      -8.00,     0.0258,   120000.0
      -7.50,     0.0243,   120000.0
      -7.00,     0.0229,   120000.0
      -6.50,     0.0217,   120000.0
      -6.00,     0.0206,   120000.0
      -5.50,     0.0197,   120000.0
      -5.00,     0.0188,   120000.0
      -4.50,     0.0181,   120000.0
      -4.00,     0.0175,   120000.0
      -3.50,     0.0169,   120000.0
      -3.00,     0.0165,   120000.0
      -2.50,     0.0161,   120000.0
      -2.00,     0.0157,   120000.0
      -1.50,     0.0154,   120000.0
      -1.00,     0.0152,   120000.0
      -0.50,     0.0148,   120000.0
       0.00,     0.0144,   120000.0
       0.50,     0.0142,   120000.0
       1.00,     0.0142,   120000.0
       1.50,     0.0144,   120000.0
       2.00,     0.0147,   120000.0
       2.50,     0.0151,   120000.0
       3.00,     0.0155,   120000.0
       3.50,     0.0159,   120000.0
       4.00,     0.0164,   120000.0
       4.50,     0.0169,   120000.0
       5.00,     0.0174,   120000.0
       5.50,     0.0180,   120000.0
       6.00,     0.0186,   120000.0
       6.50,     0.0192,   120000.0
       7.00,     0.0198,   120000.0
       7.50,     0.0205,   120000.0
       8.00,     0.0213,   120000.0
       8.50,     0.0221,   120000.0
       9.00,     0.0231,   120000.0
       9.50,     0.0243,   120000.0
      10.00,     0.0259,   120000.0
      10.50,     0.0278,   120000.0
      11.00,     0.0302,   120000.0
      11.50,     0.0332,   120000.0
      12.00,     0.0368,   120000.0
      12.50,     0.0410,   120000.0
      13.50,     0.0515,   120000.0
      14.00,     0.0577,   120000.0
      14.50,     0.0643,   120000.0
      15.00,     0.0713,   120000.0
      15.50,     0.0786,   120000.0
      16.00,     0.0862,   120000.0
      16.50,     0.0939,   120000.0
      17.00,     0.1018,   120000.0
      17.50,     0.1096,   120000.0
      18.00,     0.1171,   120000.0
      18.50,     0.1247,   120000.0
      19.00,     0.1323,   120000.0
      19.50,     0.1397,   120000.0
      20.00,     0.1470,   120000.0
      20.50,     0.1547,   120000.0
      21.00,     0.1622,   120000.0
      21.50,     0.1705,   120000.0
      22.00,     0.1787,   120000.0
      22.50,     0.1895,   120000.0
      23.00,     0.1983,   120000.0
      23.50,     0.2322,   120000.0
      25.00,     0.2748,   120000.0
      26.00,     0.2990,   120000.0
      27.00,     0.3252,   120000.0
      28.00,     0.3518,   120000.0
      29.00,     0.3790,   120000.0
      30.00,     0.4066,   120000.0
      60.00,     1.3052,   120000.0
      90.00,     1.7531,   120000.0
     120.00,     1.3114,   120000.0
     150.00,     0.4359,   120000.0
     180.00,     0.0060,   120000.0
    -180.00,     0.0060,   140000.0
    -150.00,     0.4213,   140000.0
    -120.00,     1.2358,   140000.0
     -90.00,     1.6376,   140000.0
     -60.00,     1.2343,   140000.0
     -30.00,     0.4154,   140000.0
     -10.00,     0.0312,   140000.0
      -9.50,     0.0286,   140000.0
      -9.00,     0.0268,   140000.0
      -8.50,     0.0251,   140000.0
      -8.00,     0.0235,   140000.0
      -7.50,     0.0221,   140000.0
      -7.00,     0.0210,   140000.0
      -6.50,     0.0199,   140000.0
      -6.00,     0.0190,   140000.0
      -5.50,     0.0182,   140000.0
      -5.00,     0.0174,   140000.0
      -4.50,     0.0168,   140000.0
      -4.00,     0.0162,   140000.0
      -3.50,     0.0158,   140000.0
      -3.00,     0.0153,   140000.0
      -2.50,     0.0150,   140000.0
      -2.00,     0.0147,   140000.0
      -1.50,     0.0145,   140000.0
      -1.00,     0.0143,   140000.0
      -0.50,     0.0140,   140000.0
       0.00,     0.0136,   140000.0
       0.50,     0.0134,   140000.0
       1.00,     0.0133,   140000.0
       1.50,     0.0135,   140000.0
       2.00,     0.0138,   140000.0
       2.50,     0.0141,   140000.0
       3.00,     0.0145,   140000.0
       3.50,     0.0149,   140000.0
       4.00,     0.0153,   140000.0
       4.50,     0.0158,   140000.0
       5.00,     0.0163,   140000.0
       5.50,     0.0168,   140000.0
       6.00,     0.0174,   140000.0
       6.50,     0.0180,   140000.0
       7.00,     0.0186,   140000.0
       7.50,     0.0192,   140000.0
       8.00,     0.0199,   140000.0
       8.50,     0.0208,   140000.0
       9.00,     0.0218,   140000.0
       9.50,     0.0230,   140000.0
      10.00,     0.0246,   140000.0
      10.50,     0.0265,   140000.0
      11.00,     0.0289,   140000.0
      11.50,     0.0318,   140000.0
      12.00,     0.0353,   140000.0
      12.50,     0.0394,   140000.0
      13.00,     0.0440,   140000.0
      13.50,     0.0494,   140000.0
      14.00,     0.0551,   140000.0
      14.50,     0.0613,   140000.0
      15.00,     0.0681,   140000.0
      15.50,     0.0751,   140000.0
      16.00,     0.0824,   140000.0
      16.50,     0.0900,   140000.0
      17.00,     0.0978,   140000.0
      17.50,     0.1056,   140000.0
      18.00,     0.1132,   140000.0
      18.50,     0.1211,   140000.0
      19.00,     0.1287,   140000.0
      19.50,     0.1362,   140000.0
      20.00,     0.1439,   140000.0
      20.50,     0.1513,   140000.0
      21.00,     0.1589,   140000.0
      21.50,     0.1669,   140000.0
      22.00,     0.1746,   140000.0
      22.50,     0.1834,   140000.0
      23.00,     0.1927,   140000.0
      23.50,     0.2024,   140000.0
      24.00,     0.2230,   140000.0
      25.00,     0.2704,   140000.0
      26.00,     0.2960,   140000.0
      27.00,     0.3222,   140000.0
      28.00,     0.3489,   140000.0
      29.00,     0.3762,   140000.0
      30.00,     0.4039,   140000.0
      60.00,     1.3045,   140000.0
      90.00,     1.7529,   140000.0
     120.00,     1.3113,   140000.0
     150.00,     0.4359,   140000.0
     180.00,     0.0060,   140000.0
    -180.00,     0.0060,   160000.0
    -150.00,     0.4213,   160000.0
