AoA,        Cl,         Reynolds   
      -9.00,    -0.5692,   100000.0
      -8.50,    -0.5188,   100000.0
      -8.00,    -0.4642,   100000.0
      -7.50,    -0.4072,   100000.0
      -7.00,    -0.3501,   100000.0
      -6.50,    -0.2946,   100000.0
      -6.00,    -0.2386,   100000.0
      -5.50,    -0.1851,   100000.0
      -5.00,    -0.1305,   100000.0
      -4.50,    -0.0750,   100000.0
      -4.00,    -0.0189,   100000.0
      -3.50,     0.0380,   100000.0
      -3.00,     0.0947,   100000.0
      -2.50,     0.1490,   100000.0
      -2.00,     0.2049,   100000.0
      -1.50,     0.2599,   100000.0
      -1.00,     0.3137,   100000.0
      -0.50,     0.3670,   100000.0
       0.00,     0.4153,   100000.0
       0.50,     0.4685,   100000.0
       1.00,     0.5544,   100000.0
       1.50,     0.6136,   100000.0
       2.00,     0.6612,   100000.0
       2.50,     0.7097,   100000.0
       3.00,     0.7587,   100000.0
       3.50,     0.8078,   100000.0
       4.00,     0.8567,   100000.0
       4.50,     0.9053,   100000.0
       5.00,     0.9533,   100000.0
       5.50,     1.0005,   100000.0
       6.00,     1.0467,   100000.0
       6.50,     1.0915,   100000.0
       7.00,     1.1344,   100000.0
       7.50,     1.1752,   100000.0
       8.00,     1.2132,   100000.0
       8.50,     1.2451,   100000.0
       9.00,     1.2715,   100000.0
       9.50,     1.2944,   100000.0
      10.00,     1.3142,   100000.0
      10.50,     1.3302,   100000.0
      11.00,     1.3419,   100000.0
      11.50,     1.3491,   100000.0
      12.00,     1.3518,   100000.0
      12.50,     1.3501,   100000.0
      13.00,     1.3447,   100000.0
      13.50,     1.3368,   100000.0
      14.00,     1.3284,   100000.0
      14.50,     1.3184,   100000.0
      15.00,     1.3076,   100000.0
      15.50,     1.2984,   100000.0
      16.00,     1.2898,   100000.0
      16.50,     1.2818,   100000.0
      17.00,     1.2761,   100000.0
      17.50,     1.2723,   100000.0
      18.00,     1.2695,   100000.0
      18.50,     1.2678,   100000.0
      19.00,     1.2673,   100000.0
      19.50,     1.2669,   100000.0
      20.00,     1.2678,   100000.0
      20.50,     1.2659,   100000.0
      21.00,     1.2635,   100000.0
      21.50,     1.2584,   100000.0
      22.00,     1.2426,   100000.0
      22.50,     1.2205,   100000.0
      24.00,     1.1505,   100000.0
      24.50,     1.1564,   100000.0
      25.00,     1.1677,   100000.0
      26.00,     1.1297,   100000.0
      27.00,     1.1326,   100000.0
      28.00,     1.1374,   100000.0
      29.00,     1.1438,   100000.0
      30.00,     1.1515,   100000.0
      60.00,     1.2069,   100000.0
      90.00,     0.2310,   100000.0
     120.00,    -0.9798,   100000.0
     150.00,    -1.0598,   100000.0
     180.00,    -0.1127,   100000.0
    -180.00,    -0.1165,   120000.0
    -150.00,     0.4957,   120000.0
    -120.00,     0.3251,   120000.0
     -90.00,    -0.0545,   120000.0
     -60.00,    -0.3795,   120000.0
     -30.00,    -0.4700,   120000.0
     -10.00,    -0.6502,   120000.0
      -9.50,    -0.6027,   120000.0
      -9.00,    -0.5494,   120000.0
      -8.50,    -0.4984,   120000.0
      -8.00,    -0.4461,   120000.0
      -7.50,    -0.3924,   120000.0
      -7.00,    -0.3377,   120000.0
      -6.50,    -0.2824,   120000.0
      -6.00,    -0.2267,   120000.0
      -5.50,    -0.1707,   120000.0
      -5.00,    -0.1142,   120000.0
      -4.50,    -0.0590,   120000.0
      -4.00,    -0.0041,   120000.0
      -3.50,     0.0516,   120000.0
      -3.00,     0.1081,   120000.0
      -2.50,     0.1624,   120000.0
      -2.00,     0.2173,   120000.0
      -1.50,     0.2715,   120000.0
      -1.00,     0.3249,   120000.0
      -0.50,     0.3773,   120000.0
       0.00,     0.4269,   120000.0
       0.50,     0.4750,   120000.0
       1.00,     0.5441,   120000.0
       1.50,     0.6234,   120000.0
       2.00,     0.6705,   120000.0
       2.50,     0.7186,   120000.0
       3.00,     0.7673,   120000.0
       3.50,     0.8162,   120000.0
       4.00,     0.8651,   120000.0
       4.50,     0.9138,   120000.0
       5.00,     0.9620,   120000.0
       5.50,     1.0095,   120000.0
       6.00,     1.0560,   120000.0
       6.50,     1.1010,   120000.0
       7.00,     1.1443,   120000.0
       7.50,     1.1852,   120000.0
       8.00,     1.2230,   120000.0
       8.50,     1.2553,   120000.0
       9.00,     1.2823,   120000.0
       9.50,     1.3065,   120000.0
      10.00,     1.3274,   120000.0
      10.50,     1.3443,   120000.0
      11.00,     1.3570,   120000.0
      11.50,     1.3658,   120000.0
      12.00,     1.3704,   120000.0
      12.50,     1.3710,   120000.0
      13.50,     1.3642,   120000.0
      14.00,     1.3571,   120000.0
      14.50,     1.3506,   120000.0
      15.00,     1.3428,   120000.0
      15.50,     1.3343,   120000.0
      16.00,     1.3260,   120000.0
      16.50,     1.3179,   120000.0
      17.00,     1.3101,   120000.0
      17.50,     1.3038,   120000.0
      18.00,     1.3000,   120000.0
      18.50,     1.2963,   120000.0
      19.00,     1.2936,   120000.0
      19.50,     1.2928,   120000.0
      20.00,     1.2925,   120000.0
      20.50,     1.2914,   120000.0
      21.00,     1.2913,   120000.0
      21.50,     1.2886,   120000.0
      22.00,     1.2870,   120000.0
      22.50,     1.2753,   120000.0
      23.00,     1.2726,   120000.0
      23.50,     1.1903,   120000.0
      25.00,     1.1717,   120000.0
      26.00,     1.1682,   120000.0
      27.00,     1.1695,   120000.0
      28.00,     1.1728,   120000.0
      29.00,     1.1777,   120000.0
      30.00,     1.1840,   120000.0
      60.00,     1.2217,   120000.0
      90.00,     0.2352,   120000.0
     120.00,    -0.9870,   120000.0
     150.00,    -1.0680,   120000.0
     180.00,    -0.1165,   120000.0
    -180.00,    -0.1194,   140000.0
    -150.00,     0.4913,   140000.0
    -120.00,     0.3195,   140000.0
     -90.00,    -0.0532,   140000.0
     -60.00,    -0.3728,   140000.0
     -30.00,    -0.4660,   140000.0
     -10.00,    -0.6405,   140000.0
      -9.50,    -0.5927,   140000.0
      -9.00,    -0.5415,   140000.0
      -8.50,    -0.4887,   140000.0
      -8.00,    -0.4337,   140000.0
      -7.50,    -0.3778,   140000.0
      -7.00,    -0.3237,   140000.0
      -6.50,    -0.2701,   140000.0
      -6.00,    -0.2158,   140000.0
      -5.50,    -0.1610,   140000.0
      -5.00,    -0.1055,   140000.0
      -4.50,    -0.0494,   140000.0
      -4.00,     0.0065,   140000.0
      -3.50,     0.0609,   140000.0
      -3.00,     0.1162,   140000.0
      -2.50,     0.1708,   140000.0
      -2.00,     0.2249,   140000.0
      -1.50,     0.2788,   140000.0
      -1.00,     0.3320,   140000.0
      -0.50,     0.3844,   140000.0
       0.00,     0.4342,   140000.0
       0.50,     0.4824,   140000.0
       1.00,     0.5363,   140000.0
       1.50,     0.6165,   140000.0
       2.00,     0.6761,   140000.0
       2.50,     0.7238,   140000.0
       3.00,     0.7723,   140000.0
       3.50,     0.8212,   140000.0
       4.00,     0.8701,   140000.0
       4.50,     0.9189,   140000.0
       5.00,     0.9672,   140000.0
       5.50,     1.0148,   140000.0
       6.00,     1.0615,   140000.0
       6.50,     1.1067,   140000.0
       7.00,     1.1501,   140000.0
       7.50,     1.1910,   140000.0
       8.00,     1.2285,   140000.0
       8.50,     1.2605,   140000.0
       9.00,     1.2882,   140000.0
       9.50,     1.3130,   140000.0
      10.00,     1.3346,   140000.0
      10.50,     1.3525,   140000.0
      11.00,     1.3662,   140000.0
      11.50,     1.3756,   140000.0
      12.00,     1.3813,   140000.0
      12.50,     1.3839,   140000.0
      13.00,     1.3838,   140000.0
      13.50,     1.3807,   140000.0
      14.00,     1.3779,   140000.0
      14.50,     1.3731,   140000.0
