# WindSpeed_m/s,Power_Watts,ThrustCoeff_Ct,RotorSpeed_rev/min
0.100,0.037,0.740,29.709
0.253,0.593,0.740,75.054
0.405,2.448,0.740,120.399
0.558,6.386,0.740,165.745
0.711,13.191,0.740,211.090
0.863,23.650,0.740,256.435
1.016,38.545,0.740,301.780
1.168,58.661,0.740,347.126
1.321,84.784,0.740,392.471
1.474,117.697,0.740,437.816
1.626,158.185,0.740,483.161
1.779,207.034,0.740,528.507
1.932,265.027,0.740,573.852
2.084,332.948,0.740,619.197
2.237,411.583,0.740,664.542
2.389,501.717,0.740,709.887
2.542,604.133,0.740,755.233
2.695,719.616,0.740,800.578
2.847,848.952,0.740,845.923
3.000,992.923,0.740,891.268
